title,artist,release_year,explicit,energy,valence,casing,is_uniform
Maps,Maroon 5,2014,False,0.713,0.879,mixed,mixed
Loyal,Chris Brown,2014,True,0.522,0.616,mixed,mixed
Best Day Of My Life,American Authors,2014,False,0.902,0.538,mixed,mixed
Habits,Tove Lo,2014,False,0.65,0.347,mixed,mixed
Summer,Calvin Harris,2014,False,0.856,0.743,mixed,mixed
Boom Clap,Charli XCX,2014,False,0.911,0.5760000000000001,mixed,mixed
Drunk in Love,Beyoncé,2014,True,0.621,0.399,mixed,mixed
Anaconda,Nicki Minaj,2014,True,0.603,0.647,mixed,mixed
Break Free,Ariana Grande,2014,False,0.7020000000000001,0.284,mixed,mixed
Bailando,Enrique Iglesias,2014,False,0.78,0.96,mixed,mixed
Burn,Ellie Goulding,2013,False,0.777,0.329,mixed,mixed
Wiggle,Jason Derulo,2013,False,0.621,0.721,mixed,mixed
Rather Be,Clean Bandit,2014,False,0.586,0.549,mixed,mixed
Don't Tell 'Em,Jeremih,2015,True,0.527,0.386,mixed,mixed
Show Me,Kid Ink,2014,True,0.508,0.663,mixed,mixed
Wrecking Ball,Miley Cyrus,2013,False,0.422,0.349,mixed,mixed
Not a Bad Thing,Justin Timberlake,2014,True,0.717,0.444,mixed,mixed
Roar,Katy Perry,2013,False,0.782,0.44,mixed,mixed
Ain't It Fun,Paramore,2013,False,0.893,0.673,mixed,mixed
The Man,Aloe Blacc,2014,False,0.769,0.488,mixed,mixed
This Is How We Roll,Florida Georgia Line,2013,False,0.931,0.723,mixed,mixed
Classic,MKTO,2013,False,0.781,0.8,mixed,mixed
A Sky Full of Stars,Coldplay,2014,False,0.675,0.162,mixed,mixed
Don't,Ed Sheeran,2014,False,0.608,0.849,mixed,mixed
Na Na,Trey Songz,2014,False,0.476,0.235,mixed,mixed
Hot N*gga,Bobby Shmurda,2014,True,0.51,0.18,mixed,mixed
"Hold On, We're Going Home",Drake,2013,False,0.451,0.32,mixed,mixed
Sing,Ed Sheeran,2014,False,0.67,0.939,mixed,mixed
Radioactive,Imagine Dragons,2012,False,0.784,0.236,mixed,mixed
My Nigga,YG,2013,True,0.475,0.785,mixed,mixed
Cool Kids,Echosmith,2013,False,0.671,0.786,mixed,mixed
Hey Brother,Avicii,2013,False,0.78,0.458,mixed,mixed
Trumpets,Jason Derulo,2013,False,0.7030000000000001,0.64,mixed,mixed
Animals,Maroon 5,2014,False,0.742,0.328,mixed,mixed
Burnin' It Down,Jason Aldean,2014,False,0.795,0.64,mixed,mixed
Play It Again,Luke Bryan,2013,False,0.886,0.595,mixed,mixed
2 On,Tinashe,2014,True,0.595,0.431,mixed,mixed
Dirt,Florida Georgia Line,2014,False,0.878,0.592,mixed,mixed
Love Runs Out,OneRepublic,2014,False,0.935,0.738,mixed,mixed
Bottoms Up,Brantley Gilbert,2014,False,0.857,0.545,mixed,mixed
Shower,Becky G,2014,False,0.529,0.121,mixed,mixed
Me And My Broken Heart,Rixton,2014,False,0.768,0.54,mixed,mixed
Animals,Martin Garrix,2013,True,0.868,0.0376,mixed,mixed
Lifestyle,Rich Gang,2014,True,0.667,0.471,mixed,mixed
American Kids,Kenny Chesney,2014,False,0.589,0.849,mixed,mixed
Brave,Sara Bareilles,2013,False,0.836,0.758,mixed,mixed
Sweater Weather,The Neighbourhood,2013,False,0.807,0.398,mixed,mixed
Leave The Night On,Sam Hunt,2014,False,0.951,0.838,mixed,mixed
New Flame,Chris Brown,2014,True,0.629,0.446,mixed,mixed
Love Never Felt So Good,Michael Jackson,2014,False,0.719,0.712,mixed,mixed
Drunk On A Plane,Dierks Bentley,2014,False,0.73,0.66,mixed,mixed
Birthday,Katy Perry,2013,False,0.674,0.843,mixed,mixed
Bartender,Lady A,2014,False,0.937,0.645,mixed,mixed
La La La,Naughty Boy,2013,False,0.677,0.254,mixed,mixed
Blurred Lines,Robin Thicke,2013,False,0.504,0.881,mixed,mixed
Do What U Want,Lady Gaga,2013,True,0.801,0.534,mixed,mixed
Can't Remember to Forget You,Shakira,2014,False,0.81,0.8240000000000001,mixed,mixed
Amnesia,5 Seconds of Summer,2014,False,0.499,0.108,mixed,mixed
No Mediocre,T.I.,2014,True,0.45,0.178,mixed,mixed
Come with Me Now,KONGOS,2014,False,0.726,0.728,mixed,mixed
Believe Me,Lil Wayne,2014,True,0.491,0.196,mixed,mixed
23,Mike WiLL Made-It,2013,True,0.599,0.319,mixed,mixed
Beachin',Jake Owen,2013,False,0.902,0.709,mixed,mixed
White Walls,Macklemore & Ryan Lewis,2012,True,0.782,0.8270000000000001,mixed,mixed
She Looks So Perfect,5 Seconds of Summer,2014,False,0.951,0.441,mixed,mixed
Stay The Night,Zedd,2012,False,0.738,0.461,mixed,mixed
Partition,Beyoncé,2014,True,0.441,0.172,mixed,mixed
Studio,ScHoolboy Q,2014,True,0.589,0.58,mixed,mixed
0 To 100 / The Catch Up,Drake,2013,True,0.716,0.504,mixed,mixed
I Don't Dance,Lee Brice,2014,False,0.559,0.19,mixed,mixed
Somethin' Bad,Miranda Lambert,2014,False,0.888,0.484,mixed,mixed
Adore You,Miley Cyrus,2013,False,0.655,0.201,mixed,mixed
Uptown Funk,Mark Ronson,2015,True,0.609,0.928,mixed,mixed
Thinking out Loud,Ed Sheeran,2014,False,0.445,0.591,mixed,mixed
See You Again,Wiz Khalifa,2015,False,0.481,0.283,mixed,mixed
Trap Queen,Fetty Wap,2014,True,0.873,0.8170000000000001,mixed,mixed
Sugar,Maroon 5,2014,True,0.788,0.884,mixed,mixed
Shut Up and Dance,WALK THE MOON,2014,False,0.866,0.619,mixed,mixed
Blank Space,Taylor Swift,2014,False,0.7030000000000001,0.5700000000000001,mixed,mixed
Watch Me,Silentó,2015,False,0.759,0.962,mixed,mixed
Earned It,The Weeknd,2014,False,0.381,0.426,mixed,mixed
The Hills,The Weeknd,2015,True,0.5640000000000001,0.137,mixed,mixed
Cheerleader,OMI,2014,False,0.5760000000000001,0.41,mixed,mixed
Can't Feel My Face,The Weeknd,2015,False,0.769,0.583,mixed,mixed
Love Me Like You Do,Ellie Goulding,2015,False,0.659,0.272,mixed,mixed
Take Me to Church,Hozier,2014,False,0.664,0.437,mixed,mixed
Bad Blood,Taylor Swift,2015,False,0.655,0.221,mixed,mixed
Lean On,Major Lazer,2015,False,0.809,0.274,mixed,mixed
Want to Want Me,Jason Derulo,2015,False,0.68,0.656,mixed,mixed
Shake It Off,Taylor Swift,2014,False,0.8,0.942,mixed,mixed
Where Are Ü Now,Jack Ü,2015,False,0.781,0.197,mixed,mixed
Fight Song,Rachel Platten,2015,False,0.6970000000000001,0.358,mixed,mixed
679,Fetty Wap,2015,True,0.717,0.603,mixed,mixed
Lips Are Movin,Meghan Trainor,2015,False,0.8250000000000001,0.95,mixed,mixed
Worth It,Fifth Harmony,2015,False,0.765,0.594,mixed,mixed
Post to Be,Omarion,2014,True,0.676,0.7010000000000001,mixed,mixed
"Honey, I'm Good.",Andy Grammer,2014,False,0.775,0.595,mixed,mixed
I'm Not The Only One,Sam Smith,2014,False,0.485,0.493,mixed,mixed
Good For You,Selena Gomez,2015,True,0.678,0.212,mixed,mixed
All About That Bass,Meghan Trainor,2015,True,0.887,0.961,mixed,mixed
Style,Taylor Swift,2014,False,0.791,0.487,mixed,mixed
Hotline Bling,Drake,2016,False,0.628,0.552,mixed,mixed
Hey Mama,David Guetta,2014,False,0.73,0.525,mixed,mixed
GDFR,Flo Rida,2014,False,0.8270000000000001,0.6900000000000001,upper,uniform
What Do You Mean?,Justin Bieber,2015,False,0.5670000000000001,0.793,mixed,mixed
Photograph,Ed Sheeran,2014,False,0.379,0.201,mixed,mixed
Hello,Adele,2015,False,0.431,0.289,mixed,mixed
Stitches,Shawn Mendes,2015,False,0.754,0.755,mixed,mixed
Talking Body,Tove Lo,2014,True,0.761,0.114,mixed,mixed
Jealous,Nick Jonas,2015,False,0.7010000000000001,0.38,mixed,mixed
Time of Our Lives,Pitbull,2014,True,0.802,0.724,mixed,mixed
Locked Away,R. City,2015,False,0.677,0.5750000000000001,mixed,mixed
Somebody,Natalie La Rose,2014,False,0.52,0.735,mixed,mixed
FourFiveSeconds,Rihanna,2015,False,0.272,0.354,mixed,mixed
Centuries,Fall Out Boy,2015,False,0.858,0.56,mixed,mixed
My Way,Fetty Wap,2015,True,0.741,0.537,mixed,mixed
Take Your Time,Sam Hunt,2014,False,0.719,0.483,mixed,mixed
Animals,Maroon 5,2014,False,0.742,0.328,mixed,mixed
I Don't Fuck With You,Big Sean,2015,True,0.733,0.395,mixed,mixed
Bitch Better Have My Money,Rihanna,2015,True,0.728,0.395,mixed,mixed
Flex,Rich Homie Quan,2015,True,0.607,0.891,mixed,mixed
Nasty Freestyle,T-Wayne,2015,True,0.472,0.412,mixed,mixed
Only,Nicki Minaj,2014,True,0.494,0.257,mixed,mixed
Elastic Heart,Sia,2014,False,0.791,0.499,mixed,mixed
Cool for the Summer,Demi Lovato,2015,True,0.61,0.336,mixed,mixed
Renegades,X Ambassadors,2015,False,0.862,0.528,mixed,mixed
I Don't Mind,USHER,2014,True,0.464,0.457,mixed,mixed
Love Me Harder,Ariana Grande,2014,False,0.714,0.24,mixed,mixed
Wildest Dreams,Taylor Swift,2014,False,0.6880000000000001,0.465,mixed,mixed
Stay With Me,Sam Smith,2014,False,0.42,0.184,mixed,mixed
You Know You Like It,DJ Snake,2014,False,0.725,0.247,mixed,mixed
Uma Thurman,Fall Out Boy,2015,False,0.962,0.676,mixed,mixed
7/11,Beyoncé,2014,False,0.705,0.56,mixed,mixed
The Heart Wants What It Wants,Selena Gomez,2014,False,0.789,0.621,mixed,mixed
Girl Crush,Little Big Town,2014,False,0.225,0.355,mixed,mixed
Slow Motion,Trey Songz,2015,False,0.408,0.291,mixed,mixed
Drag Me Down,One Direction,2015,False,0.711,0.606,mixed,mixed
Truffle Butter,Nicki Minaj,2014,True,0.667,0.522,mixed,mixed
One Last Time,Ariana Grande,2014,False,0.593,0.104,mixed,mixed
Chains,Nick Jonas,2015,False,0.611,0.121,mixed,mixed
All Eyes on You,Meek Mill,2015,True,0.658,0.251,mixed,mixed
No Type,Rae Sremmurd,2015,True,0.486,0.239,mixed,mixed
Riptide,Vance Joy,2013,False,0.731,0.51,mixed,mixed
Classic Man,Jidenna,2015,True,0.585,0.585,mixed,mixed
Ex's & Oh's,Elle King,2014,False,0.896,0.461,mixed,mixed
Dear Future Husband,Meghan Trainor,2015,False,0.782,0.8320000000000001,mixed,mixed
Marvin Gaye,Charlie Puth,2015,False,0.621,0.8290000000000001,mixed,mixed
Like I'm Gonna Lose You,Meghan Trainor,2015,False,0.53,0.417,mixed,mixed
Habits,Tove Lo,2014,False,0.65,0.347,mixed,mixed
The Hanging Tree,James Newton Howard,2014,False,0.0743,0.145,mixed,mixed
CoCo,O.T. Genasis,2014,True,0.628,0.178,mixed,mixed
Bang Bang,Jessie J,2014,False,0.747,0.7000000000000001,mixed,mixed
Lay Me Down,Sam Smith,2014,False,0.332,0.172,mixed,mixed
Tuesday,ILOVEMAKONNEN,2014,True,0.664,0.472,mixed,mixed
Hit the Quan,iLoveMemphis,2015,False,0.488,0.625,mixed,mixed
Downtown,Macklemore & Ryan Lewis,2016,True,0.609,0.707,mixed,mixed
House Party,Sam Hunt,2014,False,0.861,0.859,mixed,mixed
Ayo,Chris Brown,2015,True,0.5630000000000001,0.682,mixed,mixed
Kick The Dust Up,Luke Bryan,2015,False,0.86,0.8180000000000001,mixed,mixed
Blessings,Big Sean,2015,True,0.621,0.15,mixed,mixed
Budapest,George Ezra,2014,False,0.451,0.406,mixed,mixed
Chandelier,Sia,2014,False,0.787,0.5720000000000001,mixed,mixed
Heartbeat Song,Kelly Clarkson,2015,False,0.798,0.479,mixed,mixed
Don't,Ed Sheeran,2014,False,0.608,0.849,mixed,mixed
Ghost,Ella Henderson,2014,False,0.836,0.486,mixed,mixed
Here,Alessia Cara,2015,False,0.8210000000000001,0.331,mixed,mixed
Waves,Mr. Probz,2014,False,0.51,0.45,mixed,mixed
El Perdón,Nicky Jam,2017,False,0.719,0.656,mixed,mixed
She Knows,Ne-Yo,2015,True,0.5720000000000001,0.5740000000000001,mixed,mixed
Night Changes,One Direction,2014,False,0.52,0.37,mixed,mixed
Back To Back,Drake,2015,True,0.48,0.382,mixed,mixed
How Deep Is Your Love,Calvin Harris,2015,False,0.868,0.336,mixed,mixed
Love Yourself,Justin Bieber,2015,False,0.378,0.515,mixed,mixed
Sorry,Justin Bieber,2015,False,0.76,0.41,mixed,mixed
One Dance,Drake,2016,False,0.625,0.37,mixed,mixed
Work,Rihanna,2016,True,0.534,0.558,mixed,mixed
Stressed Out,Twenty One Pilots,2015,False,0.637,0.648,mixed,mixed
Panda,Desiigner,2016,True,0.731,0.266,mixed,mixed
Hello,Adele,2015,False,0.431,0.289,mixed,mixed
Don't Let Me Down,The Chainsmokers,2016,False,0.869,0.422,mixed,mixed
CAN'T STOP THE FEELING!,Justin Timberlake,2016,False,0.8300000000000001,0.7020000000000001,upper,uniform
Closer,The Chainsmokers,2016,False,0.524,0.661,mixed,mixed
Cheap Thrills,Sia,2016,False,0.8,0.728,mixed,mixed
7 Years,Lukas Graham,2016,False,0.473,0.34,mixed,mixed
Needed Me,Rihanna,2016,True,0.314,0.296,mixed,mixed
My House,Flo Rida,2015,False,0.7020000000000001,0.74,mixed,mixed
I Took A Pill In Ibiza,Mike Posner,2016,True,0.714,0.71,mixed,mixed
Work from Home,Fifth Harmony,2016,False,0.585,0.593,mixed,mixed
This Is What You Came For,Calvin Harris,2016,False,0.927,0.465,mixed,mixed
Cake By The Ocean,DNCE,2016,True,0.753,0.896,mixed,mixed
"Me, Myself & I",G-Eazy,2015,True,0.674,0.389,mixed,mixed
Ride,Twenty One Pilots,2015,False,0.713,0.5660000000000001,mixed,mixed
Heathens,Twenty One Pilots,2016,False,0.476,0.555,mixed,mixed
PILLOWTALK,ZAYN,2016,True,0.7020000000000001,0.429,upper,uniform
Stitches,Shawn Mendes,2015,False,0.754,0.755,mixed,mixed
Hotline Bling,Drake,2016,False,0.628,0.552,mixed,mixed
Cold Water,Major Lazer,2016,False,0.798,0.501,mixed,mixed
Send My Love,Adele,2015,False,0.532,0.5650000000000001,mixed,mixed
Roses,The Chainsmokers,2015,False,0.802,0.343,mixed,mixed
Treat You Better,Shawn Mendes,2017,False,0.8190000000000001,0.747,mixed,mixed
Too Good,Drake,2016,True,0.653,0.397,mixed,mixed
Low Life,Future,2016,True,0.331,0.102,mixed,mixed
What Do You Mean?,Justin Bieber,2015,False,0.5670000000000001,0.793,mixed,mixed
The Hills,The Weeknd,2015,True,0.5640000000000001,0.137,mixed,mixed
Just Like Fire,P!nk,2016,False,0.7020000000000001,0.523,mixed,mixed
Broccoli,DRAM,2016,True,0.525,0.708,mixed,mixed
Don't,Bryson Tiller,2015,True,0.356,0.189,mixed,mixed
Dangerous Woman,Ariana Grande,2016,False,0.602,0.289,mixed,mixed
Jumpman,Drake,2015,True,0.553,0.656,mixed,mixed
"i hate u, i love u",gnash,2016,True,0.275,0.18,lower,uniform
Here,Alessia Cara,2015,False,0.8210000000000001,0.331,mixed,mixed
Same Old Love,Selena Gomez,2015,False,0.593,0.438,mixed,mixed
Controlla,Drake,2016,True,0.468,0.349,mixed,mixed
Like I'm Gonna Lose You,Meghan Trainor,2015,False,0.53,0.417,mixed,mixed
One Call Away,Charlie Puth,2016,False,0.613,0.47,mixed,mixed
Let It Go,James Bay,2014,False,0.286,0.263,mixed,mixed
NO,Meghan Trainor,2017,False,0.803,0.657,upper,uniform
Never Forget You,Zara Larsson,2017,False,0.732,0.276,mixed,mixed
Let Me Love You,DJ Snake,2016,False,0.716,0.163,mixed,mixed
Don't Mind,Kent Jones,2016,True,0.771,0.6900000000000001,mixed,mixed
H.O.L.Y.,Florida Georgia Line,2016,False,0.666,0.5640000000000001,upper,uniform
We Don't Talk Anymore,Charlie Puth,2016,False,0.5630000000000001,0.352,mixed,mixed
Into You,Ariana Grande,2016,False,0.734,0.37,mixed,mixed
Gold,Kiiara,2015,False,0.412,0.408,mixed,mixed
Exchange,Bryson Tiller,2015,True,0.433,0.276,mixed,mixed
679,Fetty Wap,2015,True,0.717,0.603,mixed,mixed
oui,Jeremih,2015,False,0.724,0.604,lower,uniform
Hands To Myself,Selena Gomez,2015,False,0.499,0.466,mixed,mixed
2 Phones,Kevin Gates,2016,True,0.681,0.554,mixed,mixed
Starboy,The Weeknd,2016,True,0.587,0.486,mixed,mixed
For Free,DJ Khaled,2016,True,0.5710000000000001,0.498,mixed,mixed
Never Be Like You,Flume,2016,True,0.557,0.296,mixed,mixed
In The Night,The Weeknd,2015,True,0.68,0.539,mixed,mixed
Me Too,Meghan Trainor,2017,False,0.6940000000000001,0.833,mixed,mixed
Ex's & Oh's,Elle King,2014,False,0.896,0.461,mixed,mixed
Die A Happy Man,Thomas Rhett,2015,False,0.389,0.4,mixed,mixed
White Iverson,Post Malone,2016,True,0.562,0.309,mixed,mixed
Close,Nick Jonas,2016,False,0.623,0.401,mixed,mixed
Unsteady,X Ambassadors,2015,False,0.665,0.199,mixed,mixed
Sucker for Pain,Lil Wayne,2016,True,0.786,0.739,mixed,mixed
Down In the DM,Yo Gotti,2016,True,0.634,0.323,mixed,mixed
LUV,Tory Lanez,2016,True,0.528,0.252,upper,uniform
Sorry,Beyoncé,2016,True,0.598,0.356,mixed,mixed
Can't Feel My Face,The Weeknd,2015,False,0.769,0.583,mixed,mixed
Hymn for the Weekend,Coldplay,2016,False,0.849,0.427,mixed,mixed
Say It,Tory Lanez,2016,True,0.529,0.247,mixed,mixed
Antidote,Travis Scott,2015,True,0.526,0.131,mixed,mixed
Lost Boy,Ruth B.,2015,False,0.0565,0.348,mixed,mixed
Side To Side,Ariana Grande,2016,True,0.736,0.613,mixed,mixed
"Sit Still, Look Pretty",Daya,2016,False,0.74,0.543,mixed,mixed
Wildest Dreams,Taylor Swift,2014,False,0.6880000000000001,0.465,mixed,mixed
Middle,DJ Snake,2016,False,0.6950000000000001,0.224,mixed,mixed
On My Mind,Ellie Goulding,2015,False,0.705,0.743,mixed,mixed
Pop Style,Drake,2016,True,0.488,0.0644,mixed,mixed
When We Were Young,Adele,2015,False,0.595,0.264,mixed,mixed
Hide Away,Daya,2016,False,0.8,0.464,mixed,mixed
Lean On,Major Lazer,2015,False,0.809,0.274,mixed,mixed
I Know What You Did Last Summer,Shawn Mendes,2015,False,0.761,0.743,mixed,mixed
All The Way Up,Fat Joe,2016,True,0.721,0.393,mixed,mixed
Watch Me,Silentó,2015,False,0.759,0.962,mixed,mixed
Back To Sleep,Chris Brown,2015,True,0.639,0.7020000000000001,mixed,mixed
No Limit,USHER,2016,True,0.523,0.282,mixed,mixed
Cut It,O.T. Genasis,2015,True,0.673,0.231,mixed,mixed
Really Really,Kevin Gates,2016,True,0.666,0.278,mixed,mixed
All In My Head,Fifth Harmony,2016,False,0.791,0.755,mixed,mixed
Starving,Hailee Steinfeld,2016,False,0.616,0.508,mixed,mixed
Adventure of a Lifetime,Coldplay,2015,False,0.924,0.53,mixed,mixed
Humble And Kind,Tim McGraw,2015,False,0.48,0.148,mixed,mixed
Wicked,Future,2016,True,0.679,0.205,mixed,mixed
Tiimmy Turner,Desiigner,2016,True,0.725,0.304,mixed,mixed
See You Again,Wiz Khalifa,2015,False,0.481,0.283,mixed,mixed
Perfect,One Direction,2015,False,0.8230000000000001,0.396,mixed,mixed
Shape of You,Ed Sheeran,2017,False,0.652,0.931,mixed,mixed
Despacito,Luis Fonsi,2017,False,0.8160000000000001,0.8160000000000001,mixed,mixed
That's What I Like,Bruno Mars,2016,False,0.56,0.86,mixed,mixed
HUMBLE.,Kendrick Lamar,2017,True,0.621,0.421,upper,uniform
Something Just Like This,The Chainsmokers,2017,False,0.635,0.446,mixed,mixed
Bad and Boujee,Migos,2017,True,0.666,0.168,mixed,mixed
Closer,The Chainsmokers,2016,False,0.524,0.661,mixed,mixed
Body Like A Back Road,Sam Hunt,2017,False,0.458,0.661,mixed,mixed
Believer,Imagine Dragons,2017,False,0.78,0.719,mixed,mixed
Congratulations,Post Malone,2016,True,0.804,0.492,mixed,mixed
Say You Won't Let Go,James Arthur,2016,False,0.557,0.494,mixed,mixed
I'm the One,DJ Khaled,2017,True,0.668,0.811,mixed,mixed
XO Tour Llif3,Lil Uzi Vert,2017,True,0.75,0.401,mixed,mixed
Mask Off,Future,2017,True,0.434,0.281,mixed,mixed
Unforgettable,French Montana,2017,True,0.769,0.733,mixed,mixed
24K Magic,Bruno Mars,2016,False,0.803,0.632,mixed,mixed
Stay,Zedd,2017,False,0.622,0.544,mixed,mixed
Wild Thoughts,DJ Khaled,2017,True,0.672,0.632,mixed,mixed
Black Beatles,Rae Sremmurd,2016,True,0.632,0.355,mixed,mixed
Starboy,The Weeknd,2016,True,0.587,0.486,mixed,mixed
Location,Khalid,2017,False,0.449,0.326,mixed,mixed
Attention,Charlie Puth,2017,False,0.626,0.777,mixed,mixed
There's Nothing Holdin' Me Back,Shawn Mendes,2017,False,0.8130000000000001,0.969,mixed,mixed
Bodak Yellow,Cardi B,2017,True,0.723,0.458,mixed,mixed
Redbone,Childish Gambino,2016,True,0.356,0.607,mixed,mixed
I Don’t Wanna Live Forever,ZAYN,2017,False,0.442,0.0973,mixed,mixed
It Ain't Me,Kygo,2017,False,0.533,0.515,mixed,mixed
iSpy,KYLE,2016,True,0.653,0.672,mixed,mixed
Issues,Julia Michaels,2017,False,0.415,0.455,mixed,mixed
Scars To Your Beautiful,Alessia Cara,2015,False,0.739,0.451,mixed,mixed
1-800-273-8255,Logic,2017,True,0.5740000000000001,0.357,mixed,mixed
Slow Hands,Niall Horan,2017,False,0.423,0.851,mixed,mixed
Love On The Brain,Rihanna,2016,True,0.637,0.378,mixed,mixed
I Feel It Coming,The Weeknd,2016,False,0.8190000000000001,0.585,mixed,mixed
Bounce Back,Big Sean,2017,True,0.5750000000000001,0.273,mixed,mixed
Strip That Down,Liam Payne,2017,False,0.497,0.542,mixed,mixed
Fake Love,Drake,2017,True,0.481,0.613,mixed,mixed
Don't Wanna Know,Maroon 5,2017,False,0.62,0.427,mixed,mixed
Look What You Made Me Do,Taylor Swift,2017,False,0.671,0.474,mixed,mixed
Castle on the Hill,Ed Sheeran,2017,False,0.834,0.471,mixed,mixed
Bad Things,Machine Gun Kelly,2017,False,0.6910000000000001,0.305,mixed,mixed
Paris,The Chainsmokers,2017,False,0.658,0.219,mixed,mixed
Side To Side,Ariana Grande,2016,True,0.736,0.613,mixed,mixed
Rockabye,Clean Bandit,2016,False,0.763,0.742,mixed,mixed
Feel It Still,Portugal. The Man,2017,False,0.798,0.771,mixed,mixed
Let Me Love You,DJ Snake,2016,False,0.716,0.163,mixed,mixed
Sorry Not Sorry,Demi Lovato,2017,True,0.635,0.873,mixed,mixed
Bank Account,21 Savage,2017,True,0.347,0.376,mixed,mixed
CAN'T STOP THE FEELING!,Justin Timberlake,2016,False,0.8300000000000001,0.7020000000000001,upper,uniform
Mi Gente,J Balvin,2017,False,0.714,0.434,mixed,mixed
Thunder,Imagine Dragons,2017,False,0.8260000000000001,0.241,mixed,mixed
T-Shirt,Migos,2017,True,0.687,0.486,mixed,mixed
Rake It Up,Yo Gotti,2017,True,0.444,0.53,mixed,mixed
Mercy,Shawn Mendes,2017,False,0.662,0.356,mixed,mixed
Tunnel Vision,Kodak Black,2017,True,0.489,0.231,mixed,mixed
rockstar,Post Malone,2017,True,0.531,0.141,lower,uniform
In Case You Didn't Know,Brett Young,2017,False,0.536,0.434,mixed,mixed
Heathens,Twenty One Pilots,2016,False,0.396,0.548,mixed,mixed
Now Or Never,Halsey,2017,False,0.585,0.447,mixed,mixed
Caroline,Aminé,2017,True,0.335,0.707,mixed,mixed
Rolex,Ayo & Teo,2017,False,0.886,0.789,mixed,mixed
DNA.,Kendrick Lamar,2017,True,0.523,0.422,upper,uniform
Juju on That Beat,Zay Hilfigerrr,2016,False,0.887,0.78,mixed,mixed
Swang,Rae Sremmurd,2016,True,0.314,0.166,mixed,mixed
Passionfruit,Drake,2017,True,0.463,0.364,mixed,mixed
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,2017,True,0.535,0.419,upper,uniform
Praying,Kesha,2017,False,0.381,0.325,mixed,mixed
goosebumps,Travis Scott,2016,True,0.728,0.43,lower,uniform
Cold,Maroon 5,2017,True,0.718,0.52,mixed,mixed
Broccoli,DRAM,2016,True,0.525,0.708,mixed,mixed
Slide,Calvin Harris,2017,True,0.795,0.511,mixed,mixed
What Ifs,Kane Brown,2016,False,0.799,0.687,mixed,mixed
Chained To The Rhythm,Katy Perry,2017,False,0.798,0.485,mixed,mixed
Feels,Calvin Harris,2017,True,0.745,0.872,mixed,mixed
All Time Low,Jon Bellion,2016,True,0.5670000000000001,0.505,mixed,mixed
Hurricane,Luke Combs,2017,False,0.8130000000000001,0.515,mixed,mixed
Too Good At Goodbyes,Sam Smith,2017,False,0.372,0.476,mixed,mixed
Young Dumb & Broke,Khalid,2017,False,0.539,0.394,mixed,mixed
Magnolia,Playboi Carti,2017,True,0.582,0.443,mixed,mixed
Love Galore,SZA,2017,True,0.594,0.409,mixed,mixed
Drowning,A Boogie Wit da Hoodie,2017,True,0.81,0.8140000000000001,mixed,mixed
Starving,Hailee Steinfeld,2016,False,0.616,0.508,mixed,mixed
Both,Gucci Mane,2016,True,0.405,0.344,mixed,mixed
What About Us,P!nk,2017,False,0.594,0.187,mixed,mixed
Swalla,Jason Derulo,2017,True,0.8170000000000001,0.782,mixed,mixed
Slippery,Migos,2017,True,0.675,0.749,mixed,mixed
Sign of the Times,Harry Styles,2017,False,0.5750000000000001,0.209,mixed,mixed
Water Under The Bridge,Adele,2015,False,0.833,0.537,mixed,mixed
Malibu,Miley Cyrus,2017,False,0.781,0.343,mixed,mixed
Down,Marian Hill,2016,False,0.357,0.0661,mixed,mixed
No Promises,Cheat Codes,2017,False,0.619,0.58,mixed,mixed
Treat You Better,Shawn Mendes,2017,False,0.8190000000000001,0.747,mixed,mixed
I Get the Bag,Gucci Mane,2017,True,0.633,0.425,mixed,mixed
Small Town Boy,Dustin Lynch,2017,False,0.743,0.673,mixed,mixed
Everyday We Lit,YFN Lucci,2017,True,0.646,0.589,mixed,mixed
Havana,Camila Cabello,2017,False,0.517,0.418,mixed,mixed
What Lovers Do,Maroon 5,2017,False,0.612,0.42,mixed,mixed
do re mi,blackbear,2017,True,0.593,0.17,lower,uniform
Look At Me!,XXXTENTACION,2017,True,0.726,0.349,mixed,mixed
The Fighter,Keith Urban,2016,False,0.845,0.761,mixed,mixed
God's Plan,Drake,2018,True,0.449,0.357,mixed,mixed
Perfect,Ed Sheeran,2017,False,0.448,0.168,mixed,mixed
Meant to Be,Bebe Rexha,2017,False,0.783,0.579,mixed,mixed
Havana,Camila Cabello,2018,False,0.523,0.394,mixed,mixed
rockstar,Post Malone,2018,True,0.52,0.129,lower,uniform
Psycho,Post Malone,2018,True,0.56,0.459,mixed,mixed
I Like It,Cardi B,2018,True,0.726,0.65,mixed,mixed
The Middle,Zedd,2018,False,0.657,0.437,mixed,mixed
In My Feelings,Drake,2018,True,0.626,0.35,mixed,mixed
Girls Like You,Maroon 5,2018,True,0.541,0.448,mixed,mixed
Nice For What,Drake,2018,True,0.909,0.758,mixed,mixed
Lucid Dreams,Juice WRLD,2018,True,0.5660000000000001,0.218,mixed,mixed
Better Now,Post Malone,2018,True,0.578,0.341,mixed,mixed
Finesse,Bruno Mars,2017,False,0.859,0.926,mixed,mixed
Boo'd Up,Ella Mai,2018,False,0.843,0.22,mixed,mixed
New Rules,Dua Lipa,2017,False,0.7000000000000001,0.608,mixed,mixed
